u,v,jaccard,adamic_adar
pifon2a,shawnwang18,0.0,0.0
pifon2a,Tixxx,0.0,0.0
pifon2a,pizzud,0.0,0.0
pifon2a,akhilgoe,0.0,0.0
pifon2a,majnemer,0.0,0.0
pifon2a,tensorflower-gardener,0.0,0.0
pifon2a,alexander-shaposhnikov,0.0,0.0
pifon2a,cantonios,0.0,0.0
pifon2a,mrguenther,0.0,0.0
pifon2a,mkuperst,0.0,0.0
pifon2a,mtsokol,0.0,0.0
pifon2a,protobird-git,0.0,0.0
pifon2a,beckerhe,0.0,0.0
pifon2a,deqiangc,0.0,0.0
pifon2a,mooskagh,0.0,0.0
pifon2a,ermilovmaxim,0.0,0.0
pifon2a,mraunak,0.0,0.0
pifon2a,zvikinoza,0.0,0.0
pifon2a,nvgrw,0.0,0.0
pifon2a,allanrenucci,0.0,0.0
pifon2a,ezhulenev,0.0,0.0
pifon2a,apivovarov,0.0,0.0
sharadmv,vwbaker,0.0,0.0
sharadmv,jakeharmon8,0.0,0.0
sharadmv,mwhittaker,0.0,0.0
sharadmv,chsigg,0.0,0.0
sharadmv,belitskiy,0.0,0.0
sharadmv,WillFroom,0.0,0.0
sharadmv,EusebioDM,0.0,0.0
sharadmv,hugomano,0.0,0.0
sharadmv,Moerafaat,0.0,0.0
sharadmv,alekstheod,0.0,0.0
sharadmv,thomasjoerg,0.0,0.0
sharadmv,jpienaar,0.0,0.0
sharadmv,yashk2810,0.0,0.0
sharadmv,ggawryal,0.0,0.0
sharadmv,bixia1,0.0,0.0
sharadmv,shawnwang18,0.0,0.0
sharadmv,Tixxx,0.0,0.0
sharadmv,pizzud,0.0,0.0
sharadmv,akhilgoe,0.0,0.0
sharadmv,majnemer,0.0,0.0
sharadmv,tensorflower-gardener,0.0,0.0
sharadmv,alexander-shaposhnikov,0.0,0.0
sharadmv,cantonios,0.0,0.0
sharadmv,mrguenther,0.0,0.0
sharadmv,mkuperst,0.0,0.0
sharadmv,mtsokol,0.0,0.0
sharadmv,protobird-git,0.0,0.0
sharadmv,beckerhe,0.0,0.0
sharadmv,deqiangc,0.0,0.0
sharadmv,mooskagh,0.0,0.0
sharadmv,ermilovmaxim,0.0,0.0
sharadmv,mraunak,0.0,0.0
sharadmv,zvikinoza,0.0,0.0
sharadmv,nvgrw,0.0,0.0
sharadmv,allanrenucci,0.0,0.0
sharadmv,ezhulenev,0.0,0.0
sharadmv,apivovarov,0.0,0.0
vwbaker,jakeharmon8,0.0,0.0
vwbaker,mwhittaker,0.0,0.0
vwbaker,chsigg,0.0,0.0
vwbaker,belitskiy,0.0,0.0
vwbaker,WillFroom,0.0,0.0
vwbaker,EusebioDM,0.0,0.0
vwbaker,hugomano,0.0,0.0
vwbaker,Moerafaat,0.0,0.0
vwbaker,alekstheod,0.0,0.0
vwbaker,thomasjoerg,0.0,0.0
vwbaker,jpienaar,0.0,0.0
vwbaker,yashk2810,0.0,0.0
vwbaker,ggawryal,0.0,0.0
vwbaker,bixia1,0.0,0.0
vwbaker,shawnwang18,0.0,0.0
vwbaker,Tixxx,0.0,0.0
